,Email Address,Last Name,First Name,Section,Homework Score,Quiz Score,Exam 1 Score,Exam 2 Score,Exam 3 Score,Ceiling Score,Final Grade
wxb12345,woody.barrera_jr@univ.edu,Barrera,Woody,1,0.8081081081081081,0.6086956521739131,0.86,0.62,0.9,75.0,C
mxl12345,malaika.lambert@univ.edu,Lambert,Malaika,2,0.827027027027027,0.682149223325694,0.6,0.91,0.93,80.0,B
txj12345,traci.joyce@univ.edu,Joyce,Traci,1,0.7859404761904762,0.5942028985507246,1.0,0.84,0.64,73.0,C
jgf12345,john.g.2.flower@univ.edu,Flower,Gregg,3,0.7702702702702703,0.6152864782276548,0.72,0.83,0.77,73.0,C
smj00936,stacy.johnson@univ.edu,Johnson,Stacy,2,0.7877420634920634,0.6521739130434783,0.96,0.8,0.86,77.0,C
rxs30280,richard.saunders@univ.edu,Saunders,Richard,1,0.7108108108108108,0.836384008148714,0.65,0.93,0.64,76.0,C
dma58910,daisy.anderson@univ.edu,Anderson,Daisy,2,0.7243243243243244,0.5636643748408454,0.92,0.66,0.94,72.0,C
hsw06874,holly.watson@univ.edu,Watson,Holly,2,0.7650515873015872,0.6466946778711484,0.81,1.0,0.9,78.0,C
bkr19538,brandy.reilly@univ.edu,Reilly,Brandy,2,0.8256756756756757,0.7014973262032086,0.69,0.67,0.95,79.0,C
lxc64780,lorraine.carter@univ.edu,Carter,Lorraine,2,0.7405405405405405,0.782608695652174,0.68,0.69,0.99,79.0,C
rxp56459,ricardo.price@univ.edu,Price,Ricardo,3,0.8223730158730158,0.8359358288770053,0.68,0.92,0.75,82.0,B
rxd29805,robert.douglas@univ.edu,Douglas,Robert,2,0.7824324324324324,0.6956521739130435,0.86,0.67,0.87,77.0,C
alw07647,amy.white@univ.edu,White,Amy,3,0.8378378378378378,0.7391304347826086,0.99,0.95,0.99,85.0,B
edh14938,emily.houston@univ.edu,Houston,Emily,1,0.7662936507936509,0.7246376811594203,1.0,0.78,0.87,79.0,C
rjb91830,richard.bennett@univ.edu,Bennett,Richard,1,0.8297297297297297,0.6486529157117393,0.66,0.97,0.88,79.0,C
fxs77894,felicia.simpson@univ.edu,Simpson,Felicia,3,0.8351351351351352,0.7748459383753501,0.63,0.9,0.99,84.0,B
bdp78944,brooke.powers@univ.edu,Powers,Brooke,1,0.8028849206349207,0.7391304347826086,0.77,0.87,0.9,81.0,B
sem28474,stephen.miller@univ.edu,Miller,Stephen,2,0.80625,0.6135217723453018,0.72,0.7,0.97,76.0,C
bjg14618,benjamin.graham@univ.edu,Graham,Benjamin,2,0.7878378378378378,0.6002419149477973,0.81,0.73,0.81,74.0,C
hxg56446,heidi.glover@univ.edu,Glover,Heidi,2,0.7609642857142856,0.6376811594202898,0.6,0.83,0.83,74.0,C
sbr74322,sherry.rogers@univ.edu,Rogers,Sherry,2,0.7453690476190478,0.7681159420289855,0.63,0.92,0.8,78.0,C
skr62062,steven.roberts@univ.edu,Roberts,Steven,2,0.8621621621621621,0.6881436210847975,0.7,0.8,0.67,77.0,C
jty40106,joseph.young@univ.edu,Young,Joseph,1,0.790047619047619,0.7971072065189713,0.72,0.68,0.96,81.0,B
cxg21963,cynthia.guzman@univ.edu,Guzman,Cynthia,1,0.7515119047619047,0.7536231884057971,0.64,0.74,0.66,74.0,C
djd31335,desiree.delgado@univ.edu,Delgado,Desiree,2,0.7993134920634921,0.463768115942029,0.88,0.69,0.78,69.0,D
tsw14969,tamara.warren@univ.edu,Warren,Tamara,1,0.8017658730158731,0.8405797101449275,0.77,0.8,0.99,84.0,B
jlh15029,john.harris@univ.edu,Harris,John,1,0.8621621621621621,0.7771937866055513,0.91,0.9,0.95,86.0,B
smg03171,sherry.good@univ.edu,Good,Sherry,2,0.8121621621621622,0.6014438502673797,0.89,0.88,0.64,74.0,C
ksb85997,kelsey.brown@univ.edu,Brown,Kelsey,2,0.8335158730158732,0.754367201426025,0.8,0.69,0.83,80.0,B
wad63934,william.daniel@univ.edu,Daniel,William,2,0.7700952380952379,0.6265215176979883,0.84,0.91,0.95,78.0,C
msl77920,mark.lopez@univ.edu,Lopez,Mark,1,0.75,0.7246376811594203,0.94,0.87,0.78,77.0,C
thh29195,taylor.hernandez@univ.edu,Hernandez,Taylor,1,0.7420674603174603,0.7461344537815127,0.92,0.83,0.98,80.0,B
jxm83777,jorge.miller@univ.edu,Miller,Jorge,1,0.8409682539682539,0.7690730837789661,0.74,0.73,0.81,80.0,B
txt65366,thomas.terry@univ.edu,Terry,Thomas,1,0.7864864864864864,0.7536231884057971,0.83,0.74,0.99,81.0,B
cjs43553,crystal.smith@univ.edu,Smith,Crystal,3,0.8551666666666667,0.6811594202898551,0.85,0.88,0.6,77.0,C
amc28428,adam.cooper@univ.edu,Cooper,Adam,2,0.8501587301587301,0.7101449275362319,0.65,0.63,0.9,79.0,C
lmb95641,lauren.brock@univ.edu,Brock,Lauren,2,0.827027027027027,0.7391304347826086,0.75,0.72,0.96,81.0,B
txr84689,timothy.ramirez@univ.edu,Ramirez,Timothy,3,0.8477063492063494,0.5072463768115942,0.84,0.69,0.87,74.0,C
aes07091,andrea.smith@univ.edu,Smith,Andrea,2,0.8354920634920635,0.6780239368474662,0.66,0.97,0.86,80.0,B
jsr21334,john.rodriguez@univ.edu,Rodriguez,John,3,0.7965515873015873,0.6956521739130435,0.92,0.68,0.89,78.0,C
axm26865,anthony.miller@univ.edu,Miller,Anthony,3,0.8,0.7232442067736186,0.73,0.68,0.93,79.0,C
dsg54218,desiree.garcia@univ.edu,Garcia,Desiree,2,0.8554054054054054,0.5922332569391393,0.81,0.99,0.7,77.0,C
asm59771,ashley.martin@univ.edu,Martin,Ashley,2,0.7986486486486486,0.6474076903488668,0.67,0.72,0.68,73.0,C
cxd92501,cameron.dennis@univ.edu,Dennis,Cameron,1,0.7869087301587301,0.463768115942029,0.88,0.66,0.68,67.0,D
