,Email Address,Last Name,First Name,Section,Homework Score,Quiz Score,Exam 1 Score,Exam 2 Score,Exam 3 Score,Ceiling Score,Final Grade
dma58910,daisy.anderson@univ.edu,Anderson,Daisy,2,0.7243243243243244,0.5636643748408454,0.92,0.66,0.94,72.0,C
lba53221,lauren.anderson@univ.edu,Anderson,Lauren,2,0.793638888888889,0.6120091673032849,0.94,0.67,0.86,75.0,C
vkb66346,victoria.boyd@univ.edu,Boyd,Victoria,2,0.8189189189189189,0.5599388846447669,0.68,0.93,0.69,73.0,C
lmb95641,lauren.brock@univ.edu,Brock,Lauren,2,0.827027027027027,0.7391304347826086,0.75,0.72,0.96,81.0,B
ksb85997,kelsey.brown@univ.edu,Brown,Kelsey,2,0.8335158730158732,0.754367201426025,0.8,0.69,0.83,80.0,B
cxc08121,charles.campbell@univ.edu,Campbell,Charles,2,0.7968571428571428,0.8115942028985508,0.66,0.96,1.0,85.0,B
lxc64780,lorraine.carter@univ.edu,Carter,Lorraine,2,0.7405405405405405,0.782608695652174,0.68,0.69,0.99,79.0,C
amc28428,adam.cooper@univ.edu,Cooper,Adam,2,0.8501587301587301,0.7101449275362319,0.65,0.63,0.9,79.0,C
axc64717,alec.curry@univ.edu,Curry,Alec,2,0.8756756756756757,0.7442806213394448,0.65,0.78,0.83,81.0,B
wad63934,william.daniel@univ.edu,Daniel,William,2,0.7700952380952379,0.6265215176979883,0.84,0.91,0.95,78.0,C
axd11293,amber.daniels@univ.edu,Daniels,Amber,2,0.8432432432432433,0.7101449275362319,0.68,0.95,0.88,82.0,B
djd31335,desiree.delgado@univ.edu,Delgado,Desiree,2,0.7993134920634921,0.463768115942029,0.88,0.69,0.78,69.0,D
rxd29805,robert.douglas@univ.edu,Douglas,Robert,2,0.7824324324324324,0.6956521739130435,0.86,0.67,0.87,77.0,C
axd31221,angela.dunlap@univ.edu,Dunlap,Angela,2,0.8155515873015874,0.6521739130434783,0.82,0.64,0.92,77.0,C
tce09928,timothy.edwards@univ.edu,Edwards,Timothy,2,0.7824324324324324,0.5544410491469315,0.68,0.73,0.71,70.0,C
bcf26283,brandon.flores@univ.edu,Flores,Brandon,2,0.7810810810810811,0.7681159420289855,0.96,0.93,0.65,79.0,C
rcf61653,russell.flores@univ.edu,Flores,Russell,2,0.8364864864864865,0.7154519989814108,0.64,0.78,0.98,81.0,B
dsg54218,desiree.garcia@univ.edu,Garcia,Desiree,2,0.8554054054054054,0.5922332569391393,0.81,0.99,0.7,77.0,C
hxg56446,heidi.glover@univ.edu,Glover,Heidi,2,0.7609642857142856,0.6376811594202898,0.6,0.83,0.83,74.0,C
smg03171,sherry.good@univ.edu,Good,Sherry,2,0.8121621621621622,0.6014438502673797,0.89,0.88,0.64,74.0,C
lxg35058,lori.gordon@univ.edu,Gordon,Lori,2,0.8088214285714287,0.7246376811594203,0.88,0.96,0.76,80.0,B
bjg14618,benjamin.graham@univ.edu,Graham,Benjamin,2,0.7878378378378378,0.6002419149477973,0.81,0.73,0.81,74.0,C
chh70562,crystal.holt@univ.edu,Holt,Crystal,2,0.7527027027027027,0.7983422459893048,0.63,0.97,0.73,78.0,C
mjj83180,margaret.james@univ.edu,James,Margaret,2,0.8135135135135135,0.6813368983957219,0.85,0.9,0.97,81.0,B
jxj82678,jamie.johnson@univ.edu,Johnson,Jamie,2,0.9081081081081082,0.7246376811594203,0.63,0.71,0.9,82.0,B
smj00936,stacy.johnson@univ.edu,Johnson,Stacy,2,0.7877420634920634,0.6521739130434783,0.96,0.8,0.86,77.0,C
txj17476,tara.johnson@univ.edu,Johnson,Tara,2,0.7895079365079365,0.7067379679144385,0.71,0.91,0.95,80.0,B
mxl12345,malaika.lambert@univ.edu,Lambert,Malaika,2,0.827027027027027,0.682149223325694,0.6,0.91,0.93,80.0,B
axl60952,aaron.lester@univ.edu,Lester,Aaron,2,0.8243243243243243,0.5943570155334862,0.79,0.63,0.68,72.0,C
asm59771,ashley.martin@univ.edu,Martin,Ashley,2,0.7986486486486486,0.6474076903488668,0.67,0.72,0.68,73.0,C
sem28474,stephen.miller@univ.edu,Miller,Stephen,2,0.80625,0.6135217723453018,0.72,0.7,0.97,76.0,C
bgm86325,brian.myers@univ.edu,Myers,Brian,2,0.7840119047619047,0.7101449275362319,0.74,0.6,0.92,77.0,C
cxn83965,cindy.nguyen@univ.edu,Nguyen,Cindy,2,0.751015873015873,0.6407181054239878,0.82,0.68,0.82,73.0,C
jxo31236,john.odom@univ.edu,Odom,John,2,0.7558650793650794,0.7226890756302521,0.85,1.0,0.8,79.0,C
bkr19538,brandy.reilly@univ.edu,Reilly,Brandy,2,0.8256756756756757,0.7014973262032086,0.69,0.67,0.95,79.0,C
bxr62103,bailey.reyes@univ.edu,Reyes,Bailey,2,0.7797297297297298,0.7971014492753623,0.9,0.72,0.71,78.0,C
skr62062,steven.roberts@univ.edu,Roberts,Steven,2,0.8621621621621621,0.6881436210847975,0.7,0.8,0.67,77.0,C
akr14831,alexander.rodriguez@univ.edu,Rodriguez,Alexander,2,0.7192936507936507,0.8405797101449275,0.97,0.97,0.81,81.0,B
sbr74322,sherry.rogers@univ.edu,Rogers,Sherry,2,0.7453690476190478,0.7681159420289855,0.63,0.92,0.8,78.0,C
oxr30270,oscar.rush@univ.edu,Rush,Oscar,2,0.7554054054054054,0.5217391304347826,0.74,0.8,0.66,68.0,D
mxs33225,michelle.scott@univ.edu,Scott,Michelle,2,0.7391891891891892,0.7971014492753623,0.87,0.77,0.92,80.0,B
aes07091,andrea.smith@univ.edu,Smith,Andrea,2,0.8354920634920635,0.6780239368474662,0.66,0.97,0.86,80.0,B
sxs90647,samantha.smith@univ.edu,Smith,Samantha,2,0.7692619047619046,0.5942028985507246,0.69,1.0,0.74,74.0,C
